Dewpoint,HourlyPrecipIn,Humidity,Pressure,SolarRadiationWatts/m^2,Temperature,deviceTime_unix,WindDirectionDegrees,WindSpeedGustMPH,WindSpeedMPH,dailyrainin
10.88888888888889,0.0,77.0,1004.0602764500001,0.0,14.888888888888888,1528870497,106.0,0.0,0.0,0.0
10.88888888888889,0.0,77.0,1003.7216389200001,0.0,14.888888888888888,1528870785,112.0,0.0,0.0,0.0
11.222222222222225,0.0,79.0,1004.0602764500001,0.0,14.777777777777779,1528871089,133.0,0.0,0.0,0.0
11.277777777777777,0.0,80.0,1003.7216389200001,0.0,14.722222222222223,1528871393,128.0,0.0,0.0,0.0
11.277777777777777,0.0,81.0,1003.7216389200001,0.0,14.500000000000002,1528871697,119.0,0.0,0.0,0.0
11.277777777777777,0.0,82.0,1003.7216389200001,0.0,14.27777777777778,1528871985,140.0,0.0,0.0,0.0
11.500000000000002,0.0,84.0,1003.7216389200001,0.0,14.11111111111111,1528872289,138.0,0.0,0.0,0.0
11.38888888888889,0.0,85.0,1004.0602764500001,0.0,13.88888888888889,1528872593,100.0,0.0,0.0,0.0
11.222222222222225,0.0,85.0,1004.0602764500001,0.0,13.722222222222225,1528872897,100.0,0.0,0.0,0.0
11.38888888888889,0.0,87.0,1004.0602764500001,0.0,13.499999999999998,1528873185,104.0,0.0,0.0,0.0
11.11111111111111,0.0,87.0,1004.0602764500001,0.0,13.222222222222221,1528873490,91.0,0.0,0.0,0.0
11.222222222222225,0.0,88.0,1004.0602764500001,0.0,13.111111111111112,1528873794,91.0,0.0,0.0,0.0
10.999999999999998,0.0,88.0,1004.0602764500001,0.0,12.888888888888891,1528874098,108.0,0.0,0.0,0.0
10.999999999999998,0.0,89.0,1003.7216389200001,0.0,12.777777777777779,1528874386,95.0,0.0,0.0,0.0
10.88888888888889,0.0,89.0,1003.7216389200001,0.0,12.722222222222221,1528874690,101.0,0.0,0.0,0.0
10.88888888888889,0.0,89.0,1003.7216389200001,0.0,12.611111111111112,1528874994,115.0,0.0,0.0,0.0
10.88888888888889,0.0,89.0,1003.7216389200001,0.0,12.611111111111112,1528875298,118.0,0.0,0.0,0.0
10.777777777777777,0.0,89.0,1003.7216389200001,0.0,12.5,1528875586,103.0,0.0,0.0,0.0
10.88888888888889,0.0,90.0,1003.7216389200001,0.0,12.5,1528875890,102.0,0.0,0.0,0.0
10.88888888888889,0.0,90.0,1003.7216389200001,0.0,12.5,1528876194,106.0,0.0,0.0,0.0
10.777777777777777,0.0,90.0,1003.7216389200001,0.0,12.388888888888888,1528876498,90.0,0.0,0.0,0.0
10.777777777777777,0.0,90.0,1003.7216389200001,0.0,12.388888888888888,1528876786,90.0,0.0,0.0,0.0
10.777777777777777,0.0,90.0,1003.38300139,0.0,12.388888888888888,1528877090,85.0,0.0,0.0,0.0
10.88888888888889,0.0,91.0,1003.7216389200001,0.0,12.277777777777779,1528877394,109.0,0.0,0.0,0.0
10.722222222222221,0.0,90.0,1003.7216389200001,0.0,12.277777777777779,1528877698,110.0,0.0,0.0,0.0
